SYSTEM Asteroid Field	;{0} Asteroid Field
Starting Empires List Remove Explanation		;Click to remove this empire

Research Critical Breakthrough		;Critical Research Breakthrough
Research Critical Failure		;Critical Research Failure
Research Critical Failure SCIENTIST LOCATION RESEARCHPROJECT		;Our scientist [CHARACTER]{0}[/CHARACTER] at [LOCATION]{1}[/LOCATION] has been pursuing the wrong path while researching [RESEARCH]{2}[/RESEARCH].\n\nThis mistake has set back progress on the project as existing research is cancelled and new ideas are investigated
Research Critical Failure RESEARCHPROJECT		;Our scientists have been pursuing the wrong path while researching [RESEARCH]{0}[/RESEARCH].\n\nThis mistake has set back progress on the project as existing research is cancelled and new ideas are investigated
Research Critical Success SCIENTIST LOCATION RESEARCHPROJECT		;Our scientist [CHARACTER]{0}[/CHARACTER] at [LOCATION]{1}[/LOCATION] has made a critical breakthrough while researching [RESEARCH]{2}[/RESEARCH].\n\nThis breakthrough has initiated a crash research program for the project
Research Critical Success RESEARCHPROJECT		;Our scientists have made a critical breakthrough while researching [RESEARCH]{0}[/RESEARCH].\n\nThis breakthrough has initiated a crash research program for the project

New Character Event Title		;New {0} Appears!
New Character EVENT ROLE NAME		;Recent events ({0}) have produced a [CHARACTER]new {1}: {2}[/CHARACTER]
New Character Appeared Message ROLE NAME LOCATION		;A [CHARACTER]new {0}[/CHARACTER] named [CHARACTER]{1}[/CHARACTER] has appeared at [LOCATION]{2}[/LOCATION]
Character Event TYPE LOCATION		;{0} at {1}
Character Event Description ResearchProject		;{0} in {1}
Character Event Description Bonus Type		;{0}: {1}
Character Event Description Trait Type		;{0}: {1}
Character Event Description Empire		;{0} with {1}
Character Event Description Change Location		;{0} to {1}
Character Event Description Appearance		;{0} at {1}
Character Event Description Death		;{0} at {1}

Character Event BuildBase		;Base Construction
Character Event BuildCivilianShip		;Civilian Ship Construction
Character Event BuildFacility		;Planetary Facility Construction
Character Event BuildMilitaryShip		;Military Ship Construction
Character Event BuildOtherState		;Construction of a Ship
Character Event CaptureBase		;Base Capture
Character Event CaptureShipCivilian		;Civilian Ship Capture
Character Event CaptureShipOtherState		;Ship Capture
Character Event CaptureShipMilitary		;Ship Capture
Character Event CharacterTransferLocation		;Change Location
Character Event CharacterAppearance		;Character Appears
Character Event CharacterDeath		;Character Lost
Character Event ColonizationSuccess		;Colonization
Character Event ColonizationFailure		;Colonization Failure
Character Event ColonyConquered		;Colony Conquest
Character Event ColonyDefended		;Colony Defended from Invasion
Character Event ColonyInvasionRepulsed		;Colony Invasion Repulsed
Character Event ColonyLost		;Colony Lost
Character Event ColonyRebellion		;Colony Rebellion
Character Event ColonyDestroyed		;Enemy Colony Destroyed
Character Event ColonyLostDestroyed		;Own Colony Destroyed
Character Event DestroyBase		;Base Destroyed
Character Event DestroyCreature		;Creature Destroyed
Character Event DestroyShipCivilian		;Civilian Ship Destroyed
Character Event DestroyShipMilitary		;Military Ship Destroyed
Character Event DestroyShipOtherState		;Ship Destroyed
Character Event EliminateEmpire		;Empire Eliminated
Character Event EliminateEmpirePirate		;Pirate Faction Eliminated
Character Event HyperjumpExit		;Hyperjump Completed
Character Event IntelligenceMissionAgainstUs		;Intelligence Mission Against Us
Character Event IntelligenceMissionFailure		;Intelligence Mission Failure
Character Event IntelligenceMissionPrevented		;Intelligence Mission Prevented
Character Event IntelligenceMissionSuccess		;Intelligence Mission Success
Character Event LoseBase		;Base Lost
Character Event LoseShipCivilian		;Civilian Ship Lost
Character Event LoseShipMilitary		;Military Ship Lost
Character Event LoseShipOtherState		;Ship Lost
Character Event NewSkill		;New Skill
Character Event NewTrait		;New Trait
Character Event RaidBaseAttackerLoss		;Raid Failure
Character Event RaidBaseAttackerWin		;Raid Success
Character Event RaidBaseDefenderLoss		;Enemy Raids our Base
Character Event RaidBaseDefenderWin		;Enemy Raid Repulsed
Character Event RaidColonyAttackerLoss		;Raid Failure
Character Event RaidColonyAttackerWin		;Raid Success
Character Event RaidColonyDefenderLoss		;Enemy Raids our Colony
Character Event RaidColonyDefenderWin		;Enemy Raid Repulsed
Character Event ResearchBreakthrough		;Research Breakthrough
Character Event ResearchCriticalFailure		;Critical Research Failure
Character Event ResearchCriticalSuccess		;Critical Research Success
Character Event RetrofitBase		;Base Retrofitted
Character Event RetrofitShipCivilian		;Civilian Ship Retrofitted
Character Event RetrofitShipMilitary		;Military Ship Retrofitted
Character Event RetrofitShipOtherState		;Ship Retrofitted
Character Event SalvageShip		;Ship Salvaged
Character Event SkillProgressed		;Skill Progressed
Character Event SpyRecruited		;Spy Recruited
Character Event TreatyCancelled		;Treaty Cancelled
Character Event TreatyRefused		;Treaty Refused
Character Event TreatySigned		;Treaty Signed
Character Event TroopDestroyed		;Troop Destroyed
Character Event TroopLost		;Troop Lost
Character Event TroopRecruited		;Troop Recruited
Character Event WarEnd		;War Ends
Character Event WarStart		;War Starts

Character Trait Addict		;Addict
Character Trait BeanCounter		;Bean Counter
Character Trait CarefulAttacker		;Careful Attacker
Character Trait Corrupt		;Corrupt
Character Trait Courageous		;Courageous
Character Trait Creative		;Creative
Character Trait Demoralizing		;Demoralizing
Character Trait Diplomat		;Diplomat
Character Trait Disliked		;Disliked
Character Trait Disorganized		;Disorganized
Character Trait DoubleAgent		;Double Agent
Character Trait Drunk		;Drunk
Character Trait EloquentSpeaker		;Eloquent Speaker
Character Trait Energetic		;Energetic
Character Trait Engineer		;Engineer
Character Trait Environmentalist		;Environmentalist
Character Trait Expansionist		;Expansionist
Character Trait Famous		;Famous
Character Trait ForeignSpy		;Foreign Spy
Character Trait FreeTrader		;Free Trader
Character Trait Generous		;Generous
Character Trait GoodAdministrator		;Good Administrator
Character Trait GoodGroundLogistician		;Good Ground Logistician
Character Trait GoodRecruiter		;Good Recruiter
Character Trait GoodSpaceLogistician		;Good Space Logistician
Character Trait GoodStrategist		;Good Strategist
Character Trait GoodTactician		;Good Tactician
Character Trait HealthOriented		;Health Oriented
Character Trait Industrialist		;Industrialist
Character Trait InspiringPresence		;Inspiring Presence
Character Trait Isolationist		;Isolationist
Character Trait LaborOriented		;Labor Oriented
Character Trait Lawful		;Lawful
Character Trait LaxDiscipline		;Lax Discipline
Character Trait Lazy		;Lazy
Character Trait Linguist		;Linguist
Character Trait LocalDefenseTactics		;Local Defense Tactics
Character Trait Logical		;Logical
Character Trait Luddite		;Luddite
Character Trait Measured		;Measured
Character Trait Methodical		;Methodical
Character Trait NaturalGroundLeader		;Natural Leader
Character Trait NaturalSpaceLeader		;Natural Leader
Character Trait NonTechnical		;Non Technical
Character Trait Obnoxious		;Obnoxious
Character Trait Organized		;Organized
Character Trait Pacifist		;Pacifist
Character Trait Paranoid		;Paranoid
Character Trait Patriot		;Patriot
Character Trait PeaceThroughStrength		;Peace Through Strength
Character Trait PlanetarySupport		;Planetary Support
Character Trait PoorAdministrator		;Poor Administrator
Character Trait PoorGroundAttacker		;Poor Ground Attacker
Character Trait PoorGroundDefender		;Poor Ground Defender
Character Trait PoorGroundLogistician		;Poor Ground Logistician
Character Trait PoorNavigator		;Poor Navigator
Character Trait PoorRecruiter		;Poor Recruiter
Character Trait PoorSpaceAttacker		;Poor Space Attacker
Character Trait PoorSpaceDefender		;Poor Space Defender
Character Trait PoorSpaceLogistician		;Poor Space Logistician
Character Trait PoorSpeaker		;Poor Speaker
Character Trait PoorStrategist		;Poor Strategist
Character Trait PoorTactician		;Poor Tactician
Character Trait Protectionist		;Protectionist
Character Trait RecklessAttacker		;Reckless Attacker
Character Trait SkilledNavigator		;Skilled Navigator
Character Trait Sober		;Sober
Character Trait Spiritual		;Spiritual
Character Trait StrongGroundAttacker		;Strong Ground Attacker
Character Trait StrongGroundDefender		;Strong Ground Defender
Character Trait StrongSpaceAttacker		;Strong Space Attacker
Character Trait StrongSpaceDefender		;Strong Space Defender
Character Trait Technical		;Technical
Character Trait Tolerant		;Tolerant
Character Trait TongueTied		;Tongue Tied
Character Trait ToughDiscipline		;Tough Discipline
Character Trait Trusting		;Trusting
Character Trait UltraGenius		;Ultra Genius
Character Trait Uninhibited		;Uninhibited
Character Trait Weak		;Weak
Character Trait Xenophobic		;Xenophobic
Character Trait Smuggler		;Smuggler
Character Trait BountyHunter		;Bounty Hunter

Character Trait ProtectorOfLife		;Protector of Life
Character Trait HarvesterOfLife		;Harvester of Life
Character Trait KeeperOfHarmony		;Keeper of Harmony
Character Trait BondMaker		;Bond Maker
Character Trait Slaver		;Slaver
Character Trait DivideAndRule		;Divide and Rule
Character Trait CarefulWeaver		;Careful Weaver
Character Trait StrikesFromShadow		;Strikes from Shadow

Character Trait PuzzleSolver		;Puzzle Solver
Character Trait Introverted		;Introverted
Character Trait Driven		;Driven
Character Trait EfficiencySpecialist		;Efficiency Specialist

Character Trait GiftedConduit		;Gifted Conduit
Character Trait ControllingMind		;Controlling Mind
Character Trait SwarmLord		;Swarm Lord
Character Trait LarvaOverseer		;Larva Overseer

Character Trait Description InspiringPresence		;Slowly increases the skills of all other characters at the same location or in the same fleet
Character Trait Description Demoralizing		;Slowly decreases the skills of all other characters at the same location or in the same fleet
Character Trait Description LocalDefenseTactics		;{0} to Targeting and Countermeasures when fleet is near a colony or base of your empire
Character Trait Description ForeignSpy		;Significantly increases the success rate of other empires 'Steal Tech' espionage missions against your empire
Character Trait Description Patriot		;Significantly decreases the success rate of other empires 'Steal Tech' espionage missions against your empire
Character Trait Description UltraGenius		;Increases the research output of your empire by {0} for each scientist with this trait
Character Trait Description Creative		;Increases the chance of a critical research success or failure
Character Trait Description Methodical		;Decreases the chance of a critical research success or failure
Character Trait Description Corrupt		;Improves chance of recruiting character to another empire when imprisoned
Character Trait Description Corrupt Scientist		;Increases the chance of a critical research failure
Character Trait Description DoubleAgent		;Improves chance of recruiting character to another empire when imprisoned
Character Trait Description OnlyAppliesToExistingSkills		;only applies to existing skills
Character Trait Description Energetic		;{0} increase to all existing skills
Character Trait Description Lazy		;{0} decrease to all existing skills
Character Trait Description Drunk		;{0} decrease to all existing skills
Character Trait Description GoodAdministrator Scientist		;{0} decrease to crash research costs

Character Trait Description Slaver		;{0} Colony Income from Slavery population policy

Character Trait Description Driven		;Increases the chance of a critical research failure
Character Trait Description EfficiencySpecialist		;20% discount on the cost of crash research

Character Trait Description GoodTactician		;{0} increase to all existing skills
Character Trait Description PoorTactician		;{0} decrease to all existing skills
Character Trait Description ToughDiscipline		;{0} increase to all existing skills
Character Trait Description LaxDiscipline		;{0} decrease to all existing skills

Colony Leaves Empire		;The inhabitants of [LOCATION]{0}[/LOCATION] have tired of our oppressive rule and switched allegiance to the [FACTION]{1}[/FACTION]!
Colony Leaves Empire Joins Us		;The oppressed inhabitants of [LOCATION]{0}[/LOCATION] have switched allegiance and joined us!
Colony Leaves Empire Independent		;The inhabitants of [LOCATION]{0}[/LOCATION] have tired of our oppressive rule and proclaimed independence!

Character Death Description Generic		;Our [CHARACTER]{0} {1}[/CHARACTER] has died at [LOCATION]{2}[/LOCATION]!
Character Death Description Assassinated		;Our [CHARACTER]{0} {1}[/CHARACTER] has been assassinated by a foreign intelligence agent at [LOCATION]{2}[/LOCATION]!
Character Death Description Bombardment		;Our [CHARACTER]{0} {1}[/CHARACTER] has been killed in the orbital bombardment of [LOCATION]{2}[/LOCATION]!
Character Death Description ColonyDisaster		;Our [CHARACTER]{0} {1}[/CHARACTER] has been killed in a natural disaster at [LOCATION]{2}[/LOCATION]!
Character Death Description GroundBattle		;Our [CHARACTER]{0} {1}[/CHARACTER] has been killed in a ground battle at [LOCATION]{2}[/LOCATION]!
Character Death Description OldAge		;Our [CHARACTER]{0} {1}[/CHARACTER] has died of old age at [LOCATION]{2}[/LOCATION]!
Character Death Description Plague		;Our [CHARACTER]{0} {1}[/CHARACTER] has been killed by plague at [LOCATION]{2}[/LOCATION]!
Character Death Description BaseDestroyed		;Our [CHARACTER]{0} {1}[/CHARACTER] has died when [LOCATION]{2}[/LOCATION] was destroyed!
Character Death Description ShipDestroyed		;Our [CHARACTER]{0} {1}[/CHARACTER] has died when their ship [LOCATION]{2}[/LOCATION] was destroyed in battle near {3}!
Character Death Description Revolution		;Our [CHARACTER]{0} {1}[/CHARACTER] has been killed in the unrest during a revolution at [LOCATION]{2}[/LOCATION]!
Character Death Description ShipCapture		;Our [CHARACTER]{0} {1}[/CHARACTER] has been killed during a boarding assault of [LOCATION]{2}[/LOCATION]!
Character Death Description AgentExecuted		;Our [CHARACTER]{0} {1}[/CHARACTER] has been captured and executed following a failed mission against the [FACTION]{2}[/FACTION]!

Leader Other Death Description Generic		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has died at [LOCATION]{2}[/LOCATION]!
Leader Other Death Description Assassinated		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has been assassinated by a foreign intelligence agent at [LOCATION]{2}[/LOCATION]!
Leader Other Death Description Bombardment		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has been killed in the orbital bombardment of [LOCATION]{2}[/LOCATION]!
Leader Other Death Description ColonyDisaster		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has been killed in a natural disaster at [LOCATION]{2}[/LOCATION]!
Leader Other Death Description GroundBattle		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has been killed in a ground battle at [LOCATION]{2}[/LOCATION]!
Leader Other Death Description OldAge		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has died of old age at [LOCATION]{2}[/LOCATION]!
Leader Other Death Description Plague		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has been killed by plague at [LOCATION]{2}[/LOCATION]!
Leader Other Death Description BaseDestroyed		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has died when [LOCATION]{2}[/LOCATION] was destroyed!
Leader Other Death Description ShipDestroyed		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has died when their ship [LOCATION]{2}[/LOCATION] was destroyed in battle near {3}!
Leader Other Death Description Revolution		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has been killed in the unrest during a revolution at [LOCATION]{2}[/LOCATION]!
Leader Other Death Description ShipCapture		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has been killed during a boarding assault of [LOCATION]{2}[/LOCATION]!
Leader Other Death Description AgentExecuted		;[CHARACTER]{0}[/CHARACTER], leader of the [FACTION]{1}[/FACTION], has been captured and executed following a failed mission against the [FACTION]{2}[/FACTION]!

Character ROLE Killed		;{0} Killed!
Character ROLE Assassinated		;{0} Assassinated!

Character LEADER Killed Other		;{0} Leader Killed
Character LEADER Assassinated Other		;{0} Leader Assassinated

Character New Leader		;New Leader Takes Power
Character New Leader Description		;[CHARACTER]{0}[/CHARACTER] has taken power as the new leader of our empire.

New Leader for EMPIRE		;New Leader for {0}
CHARACTER has become the leader of the EMPIRE		;[CHARACTER]{0}[/CHARACTER] has become the leader of the [FACTION]{1}[/FACTION]

Character Mission CounterIntelligence		;Counter Intelligence
Character Mission AssassinateCharacter		;Assassination
Character Mission DeepCover		;Deep Cover
Character Mission DestroyBase		;Destroy Base
Character Mission CaptureBase		;Capture Base
Character Mission InciteRevolution		;Incite Revolution
Character Mission SabotageColony		;Incite Rebellion at Colony
Character Mission SabotageConstruction		;Sabotage Construction
Character Mission StealGalaxyMap		;Steal Galaxy Map
Character Mission StealOperationsMap		;Steal Operations Map
Character Mission StealTechData		;Steal Research Information
Character Mission StealTerritoryMap		;Steal Territory Map
Character Mission InfluenceEmpirePositively		;Influence Empire Positively
Character Mission InfluenceEmpireNegatively		;Influence Empire Negatively
Character Mission InternalStabilization		;Internal Stabilization

Character Mission Description CounterIntelligence		;Counter Intelligence against foreign agents
Character Mission Description AssassinateCharacter		;Assassinate {0} {1}
Character Mission Description DeepCover		;Infiltrate the {0}
Character Mission Description DestroyBase		;Destroy {0}
Character Mission Description CaptureBase		;Capture {0}
Character Mission Description InciteRevolution		;Incite Revolution in the {0}
Character Mission Description SabotageColony		;Incite Rebellion at the colony {0}
Character Mission Description SabotageConstruction		;Sabotage construction at {0}
Character Mission Description StealGalaxyMap		;Steal the Galaxy Map of the {0}
Character Mission Description StealOperationsMap		;Steal the Operations Map of the {0}
Character Mission Description StealTechData		;Steal research information on {0}
Character Mission Description StealTerritoryMap		;Steal the Territory Map of the {0}
Character Mission Description InfluenceEmpirePositively		;Improve {0}'s evaluation of {1}
Character Mission Description InfluenceEmpireNegatively		;Reduce {0}'s evaluation of {1}
Character Mission Description InternalStabilization		;Reduce internal unrest from dissidents

Character Mission Description AssassinateCharacter Us		;Assassinate our {0} {1}
Character Mission Description DeepCover Us		;Infiltrate our operations
Character Mission Description DestroyBase Us		;Destroy {0}
Character Mission Description CaptureBase Us		;Capture {0}
Character Mission Description InciteRevolution Us		;Incite Revolution against our government
Character Mission Description SabotageColony Us		;Incite Rebellion at our colony {0}
Character Mission Description SabotageConstruction Us		;Sabotage construction at {0}
Character Mission Description StealGalaxyMap Us		;Steal our Galaxy Map
Character Mission Description StealOperationsMap Us		;Steal our Operations Map
Character Mission Description StealTechData Us		;Steal research information on {0}
Character Mission Description StealTerritoryMap Us		;Steal our Territory Map
Character Mission Description InfluenceEmpirePositively Us		;Improve our evaluation of {1}
Character Mission Description InfluenceEmpireNegatively Us		;Reduce our evaluation of {1}

Character Mission Outcome Success		;Our agent [CHARACTER]{0}[/CHARACTER] has evaded detection after successfully carrying out their mission to {1}
Character Mission Outcome Fail		;Our agent [CHARACTER]{0}[/CHARACTER] has evaded detection after failing to {1}
Character Mission Outcome FailDetect		;Our agent [CHARACTER]{0}[/CHARACTER] has been detected after failing to {1}. Fortunately they were able to escape, but the exposure of this mission will have diplomatic consequences.
Character Mission Outcome FailDetect Internal		;Our agent [CHARACTER]{0}[/CHARACTER] has been detected after failing to {1}. Fortunately they were able to escape.
Character Mission Outcome SucceedDetect		;Our agent [CHARACTER]{0}[/CHARACTER] has been detected after successfully carrying out their mission to {1}. While the mission succeeded, our agent's exposure will have diplomatic consequences.
Character Mission Outcome Capture		;Our agent [CHARACTER]{0}[/CHARACTER] has been captured while preparing to {1}. The exposure of this mission will have diplomatic consequences.
Character Mission Outcome CaptureInAct		;Our agent [CHARACTER]{0}[/CHARACTER] has been captured while attempting to {1}. The exposure of this mission will have diplomatic consequences.
Character Mission Outcome Capture Internal		;Our agent [CHARACTER]{0}[/CHARACTER] has been intercepted while preparing to {1}!

Character Mission Outcome FailDetect Foreign		;[CHARACTER]{0}[/CHARACTER] of the [FACTION]{1}[/FACTION] managed to escape when our forces detected them attempting to {2}
Character Mission Outcome SucceedDetect Foreign		;[CHARACTER]{0}[/CHARACTER] of the [FACTION]{1}[/FACTION] managed to escape our forces after successfully completing their mission to {2}
Character Mission Outcome Capture Foreign		;We have captured [CHARACTER]{0}[/CHARACTER] of the [FACTION]{1}[/FACTION] preparing to {2}.
Character Mission Outcome CaptureInAct Foreign		;We have captured [CHARACTER]{0}[/CHARACTER] of the [FACTION]{1}[/FACTION] attempting to {2}.

Character Mission Outcome Success Sharing		;Our allies the [FACTION]{0}[/FACTION] have shared the results of a recent espionage mission to {1}
Ally Shares Intelligence Information		;Ally Shares Intelligence Information

Construction Sabotaged		;Construction Sabotaged
Construction Sabotaged Description		;Construction work at [LOCATION]{0}[/LOCATION] has been set back in an explosion!\n\nWe strongly suspect sabotage by foreign intelligence agents...
Agent Revolution		;Our government has been overthrown in a revolution! The revolution has caused mush disruption and unrest at our colonies.\n\nWe strongly suspect foreign involvement in this revolution...
Revolution		;Revolution
Base Destroyed Sabotage		;Base Destroyed
Base Destroyed Sabotage Description		;[LOCATION]{0}[/LOCATION] has been totally destroyed in an explosion!\n\nWe strongly suspect sabotage by foreign intelligence agents...
Base Captured Sabotage		;Base Mutiny!
Base Captured Sabotage Description		;The crew onboard [LOCATION]{0}[/LOCATION] have mutinied and joined another faction!\n\nWe strongly suspect sabotage by foreign intelligence agents...
Colony Sabotage Description		;Our colony [LOCATION]{0}[/LOCATION] is in open rebellion against our rulership! The rebellion is causing widespread chaos and destruction.\n\nWe strongly suspect foreign influence fomenting this rebellion...
Colony Rebels		;Colony Rebels

Foreign Agent Executed		;They have been executed for their crimes.
Our Agent Executed		;[CHARACTER]{0}[/CHARACTER] has been executed by the [FACTION]{1}[/FACTION].
Our Agent Executed Internal		;[CHARACTER]{0}[/CHARACTER] has been executed by the dissidents who captured them.
Foreign Agent Imprisoned		;They have been imprisoned for their crimes.
Our Agent Imprisoned		;[CHARACTER]{0}[/CHARACTER] has been imprisoned by the [FACTION]{1}[/FACTION].

Foreign Agent Captured		;Foreign Agent Captured
Agent Captured		;Agent Captured
Foreign Mission Thwarted		;Foreign Mission Thwarted
Mission Failed		;Mission Failed
Mission Exposed		;Mission Exposed
Foreign Mission Against Us		;Foreign Mission Against Us
Mission Completed, but Exposed		;Mission Completed, but Exposed
Mission Completed		;Mission Completed

Counter Intelligence Ratio		;Counter Intelligence Ratio
Targeting Aggressiveness		;Targeting Aggressiveness
Mission Difficulty Caution		;Mission Difficulty Caution
Allow Sabotage Construction		;Allow Sabotage Construction
Allow Steal Territory Map		;Allow Steal Territory Map
Allow Steal Galaxy Map		;Allow Steal Galaxy Map
Allow Steal Operations Map		;Allow Steal Operations Map
Allow Steal Research		;Allow Steal Research
Allow Incite Colony Rebellion		;Allow Incite Colony Rebellion
Allow Deep Cover		;Allow Deep Cover
Allow Destroy Base		;Allow Destroy Base
Allow Assassinations		;Allow Assassinations
Allow Incite Revolution		;Allow Incite Revolution
Allow Capture Base		;Allow Capture Base
Allow Internal Stabilization		;Allow Internal Stabilization
Allow Influence Empire Positively		;Allow Influence Empire Positively
Allow Influence Empire Negatively		;Allow Influence Empire Negatively

Intelligence Missions		;Intelligence Missions
Characters		;Characters
Age		;Age
No mission		;No mission
Skill Level		;Skill Level

Deep cover in the EMPIRE		;Deep cover in the {0}
Until cancelled		;Until cancelled
One month		;One month
Three months		;Three months
One year		;One year
completed DATE		;completed {0}
Transferring to DESTINATION		;Transferring to {0}
Expected Arrival		;ETA: {0}
Leading invasion of LOCATION		;Leading invasion of {0}
Commanding FLEETNAME		;Commanding {0}
Commanding FLEETNAME from SHIP		;Commanding {0} from {1}
Commanding SHIPNAME		;Commanding {0}
Onboard SHIPNAME		;Onboard {0}
Waiting at X		;Waiting at {0}
Ambassador to EMPIRE at COLONY		;Ambassador to {0} at {1}
Governing COLONY		;Governing {0}
Ruling from COLONY		;Ruling from {0}
Researching at X		;Researching at {0}
Prisoners		;Prisoners
Imprisoned by EMPIRE		;Imprisoned by {0}
Imprisoned by EMPIRE LOCATION		;Imprisoned by {0} at {1}
Location Unknown		;Location Unknown

Target Empire		;Target Empire
Mission Type		;Mission Type
Mission Target		;Mission Target
Time To Complete		;Time To Complete
Assign Mission		;Assign Mission
Cancel Mission		;Cancel Mission

No Target Empire Selected		;No Target Empire Selected
No Mission Type Selected		;No Mission Type Selected
No Mission Target Selected		;No Mission Target Selected
X months		;{0} months
Success Probability		;Success Probability

Character Mission Success Chance Explanation Safe		;This mission has a high chance of success
Character Mission Success Chance Explanation Risky		;This mission is somewhat risky, maybe you should reconsider
Character Mission Success Chance Explanation Dangerous		;WARNING: This mission is highly risky - your agent may be captured
Character Mission Success Chance Explanation Unknown		;Select further mission parameters to determine mission success
Character Mission Success Chance Other Empire		;You cannot assign missions to characters of other empires

No Location		;No Location
Transfer to new location		;Transfer to new location
Dismiss ROLE		;Dismiss {0}
Dismiss Character Warning ROLE NAME		;You are about to permanently dismiss your {0} {1}. This action cannot be undone.\n\nAre you sure you want to dismiss {1}?
Keep		;Keep
Click to edit		;Click to edit
Automated - click to control manually		;Automated - click to control manually
Manually Controlled - click to automate		;Manually Controlled - click to automate
Traits		;Traits
Skills		;Skills
Character untested - skill levels and traits unknown		;Character untested - skill levels and traits unknown
X progress towards next skill level increase		;{0} progress towards next skill level increase
Mission		;Mission
Location		;Location
Events		;Events
from Trait		;from Trait
No known targets		;No known targets
Cannot change automation for character of another empire		;Cannot change automation for character of another empire
Automate assignment of character location and missions		;Automate assignment of character location and missions
Counter intelligence against all empires		;Counter intelligence against all empires

OFFERER does not desire this treaty		;{0} does not want this treaty
Other faction does not desire this treaty		;Other faction does not want this treaty
This offer is too soon after our last change		;This offer is too soon after our last change
This treaty does not align with our goals		;This treaty does not align with our goals
We do not like you enough		;We do not like you enough

These ruins also provide the following bonuses		;These ruins also provide the following bonuses
These ruins provide the following bonuses		;These ruins provide the following bonuses
However these ruins provide the following bonuses		;However these ruins provide the following bonuses
Spies		;Spies
Non Spies		;Non Spies
Reputation Factors		;Reputation Factors

Research Time In Days Description		;{0} days to research ({1} concurrent projects)
Research Time In Years Description		;{0} years to research ({1} concurrent projects)
Research Time Suffix		;to research ({0} concurrent projects)
No Projects Queued		;No Projects Queued
X days		;{0} days
X years		;{0} years
Applies Empire-wide		;Applies Empire-wide
Applies only to Location		;Applies only to Location

No buildable Colony Ship designs		;No buildable Colony Ship designs

Reactor Offline		;Reactor Offline
HyperDrive Offline		;HyperDrive Offline

from Resources		;from Resources
from Population		;from Population
static		;static
growing		;growing
shrinking		;shrinking
from Events		;from Events
EMPIRE attacking		;{0} attacking
No attackers		;No attackers

Zoom In		;Zoom In
Zoom Out		;Zoom Out
Zoom to Galaxy		;Zoom to Galaxy
Zoom to Region		;Zoom to Region
Zoom to System		;Zoom to System
Zoom to Location		;Zoom to Location
Zoom to Selected Item		;Zoom to Selected Item

War!		;War!
We declare WAR on you!		;We declare WAR on you!
EMPIRE declares WAR on us!		;[FACTION]{0}[/FACTION] declares WAR on us!
Please consider this trade offer		;Please consider this trade offer
We accept your proposal		;We accept your proposal
We agree that this war should end - we will cease hostilities immediately		;We agree that this war should end - we will cease hostilities immediately
This proposal is not in our interests - no deal		;This proposal is not in our interests - no deal
Thank you for your gift		;Thank you for your gift
We reject your peace offer - our war will continue		;We reject your peace offer - our war will continue
We accept your treaty offer		;We accept your treaty offer
We are not interested in this treaty with you		;We are not interested in this treaty with you
EMPIRE agrees to end War		;{0} agrees to end War
EMPIRE agrees to TREATY		;{0} agrees to {1}
EMPIRE accepts our gift		;{0} accepts our gift
EMPIRE accepts our trade proposal		;{0} accepts our trade proposal
EMPIRE rejects our trade proposal		;{0} rejects our trade proposal
EMPIRE rejects end to War		;{0} rejects end to War
EMPIRE rejects TREATY		;{0} rejects {1}
We requested from EMPIRE		;We requested from {0}
We offered		;We offered
EMPIRE offers us a trade deal		;{0} offers us a trade deal
EMPIRE offers us some info		;{0} offers to sell us some secret information
EMPIRE offers us a gift		;{0} offers us a gift
EMPIRE offers		;[FACTION]{0}[/FACTION] offers
EMPIRE requests from us		;[FACTION]{0}[/FACTION] requests from us
We accept this deal		;We accept this deal
We reject this deal		;We reject this deal
We reject your gift		;We reject your gift
EMPIRE offers us a treaty		;{0} offers us a treaty
EMPIRE cancels our treaty		;{0} cancels our treaty
EMPIRE has cancelled TREATY with us		;{0} has cancelled {1} with us
EMPIRE modifies trade relations		;{0} modifies trade relations
EMPIRE has downgraded TRADE TREATY with us		;{0} has downgraded our trade relations from {1} to {2}
PIRATE offers us Protection		;{0} offers us Protection

End of War with EMPIRE		;End of War with {0}
We have ended the war with the EMPIRE		;We have ended the war with the [FACTION]{0}[/FACTION]
TREATY signed with EMPIRE		;{0} signed with {1}
We have signed a TREATY with the EMPIRE		;We have signed a {0} with the [FACTION]{1}[/FACTION]
Gift from EMPIRE		;Gift from {0}
